Nº;Descripción
00226;BARRIL 50L SM  (3508) *1 Ud.
00227;BARRIL 30L SM (3523) *1 Ud.
00228;BARRIL SELECTA 30L(1181) *1 Ud.
00230;BARRIL 0,0 20L (327) *1 Ud.
00231;BARRIL RADLER SM 20L *1 Ud.
00251;BARRIL GAYMERS 30L(1933 *1 Ud.
00252;BARRIL BLACKTHORN 30L *1 Ud.
00260;BARRIL BECKS 30L *1 Ud. 
00265;BARRIL MAGNA 30L *1 Ud.
00290;BARRIL INTENSA SM 30L *1 Ud.
00291;BARRIL AMARGA SM 30L *1 Ud.
00292;BARRIL DUNKEL 30L *1 Ud.
02213;BARRIL BUDWEISER 30L *1 Ud.
02215;BARRIL STELLA ARTOIS 30L *1 Ud.
02219;BARRIL FRANZISKANER 30L *1 Ud.
02225;BARRIL LEFFE BLON 30L *1 Ud.
02226;BARRIL LEFFE BRUN 30L *1 Ud.
02230;ALH SIN ALCOHOL BARRI BARRIL 30L*1 Ud.
02231;ALH ESPECIAL BARRIL 50L *1 Ud.
02232;ALH ESPECIAL BARRIL 30L *1 Ud.
02264;BARRIL HOEGAARDEN 20L *1 Ud.
02276;BARRIL BRUTUS 30L *1 Ud. 
02279;ALH RESERVA ROJA BARRIL20 *1 Ud.
02283;ALH RADLER BARRIL 30L *1 Ud.
02295;ALH BARRIL RADLER 20L *1 Ud.
