Nº;Descripción
00209;SAN MIGUEL LATA 330 *28 Ud.
00213;DESPERADO MOJITO LATA 500*24 Ud.
00215;CERVEZA JUDAS 33cl *12 Ud.
00224;CERVEZA LOWEN ORIGINAL CAJA 1/3FP *24 Ud.
00232;SAN MIGUEL 1L (3546) *6 Ud.
00233;SIN 0.0 SM LATA(4975) *24 Ud.
00234;SIN 0.0 RADLER LATA *24 Ud.
00235;SIN 0,0 1/5 E/R (945) *30 Ud.
00236;SIN 0,0 1/3 E/R (918) *24 Ud.
00238;SIN 0.0 RADLER 1/3 FP *24 Ud.
00239;SIN 0,0 1/4 PACK (441 *24 Ud.
00240;SAN MIGUEL RADLER LATA *24 Ud.
00242;MAGNA 1/3 F/P *24 Ud.
00243;MAGNA 1/3 E/R *24 Ud.
00245;SAN MIGUEL 1/5 E/R (829) *30 Ud.
00246;SAN MIGUEL 1/3 E/R (888) *24 Ud.
00247;SAN MIGUEL LATA 330(4996 *24 Ud.
00248;MAGNA 1/5 E/R *30 Ud.
00250;SAN MIGUEL LATA 500(4973 *24 Ud.
00253;SAN MIGUEL 1/4 PACK(403) *24 Ud.
00255;SELECTA 1/3 FP (1238) *24 Ud.
00256;SAN MIGUEL 1/3 FP(923 *24 Ud.
00257;SAN MIGUEL RADLER 1/3 E/R *24 Ud.
00259;YAKIMA VALLEY IPA S.M. 1/3 *12 Ud.
00263;SPATEN CAJA 20 1/2 *20 Ud.
00266;BECKS 1/3 CAJA  *24 Ud.
00268;MAGNER 56.8cl BOT *12 Ud.
00276;SAN MIGUEL SIN GLUTEN FP *24 Ud.
00277;SELECTA 1/3 E/R *24 Ud.
00286;SIN 00 TOSTADA 1/3 ER *24 Ud.
00288;GUINNES 0.44 LATA *24 Ud.
00293;MAGNA 0.0 TOSTADA 1/3 *24 Ud.
00295;PERONI NASTRO AZZURRO *24 Ud.
00297;DESPERADOS 1/3 FP *24 Ud.
00298;DESPERADOS LATA 500 *24 Ud.
02210;CORONA CAJA 35,5CL *24 Ud.
02211;CORONA 4X6 21CL *24 Ud.
02212;BUDWEISER 1/3 FP*24U *24 Ud.
02214;STELLA ARTOIS 1/3 FP*24U *24 Ud.
02218;FRANZISKANER WEISSBIER 1/2 *20 Ud.
02220;HOEGARDEN 1/3 FP*24U *24 Ud.
02221;MODELO ESPECIAL 35.5CL*24U *24 Ud.
02222;PACIFICO  CLARA 35.5C *24 Ud.
02223;CUBANISTO 4X6 1/3 FP *24 Ud.
02224;ALH TRADICIONAL 1/4 PACK *24 Ud.
02228;LEFFE TRIPLE BLON 1/3 *24 Ud.
02233;ALH SIN LATA 330 ESPECIAL*24 Ud.
02235;ALH SIN 1/5 ER LAGER SINGULAR*30 Ud.
02236;ALH SIN ALCOHOL 1/3 LAGER SINGULAR RET*24 Ud.
02239;ALH SIN 1/4 FP LAGER SINGULAR*24 Ud.
02240;ALH RADLER 1/3 RET LAGER SINGULAR*24 Ud.
02243;ALH ESPECIAL 1/3 FP *24 Ud.
02245;ALH ESPECIAL 1/5 ER *30 Ud.
02246;ALH ESPECIAL 1/3 ER *24 Ud.
02247;ALH ESPECIAL LATA 330 *24 Ud.
02248;ALH TRADICIONAL BANDEJA 1L *6 Ud.
02249;ALH ESPECIAL LATA 250ML *24 Ud.
02250;ALH TRADICIONAL CAJA RET 1/3 *24 Ud.
02252;ALH TRADICIONAL LATA 330 *24 Ud.
02254;ALH TRADICIONAL LATA 500 *24 Ud.
02256;MAHOU ROSE 1/3 F.P. *24 Ud.
02259;CUSQUEÑA NEGRA 1/3 *24 Ud.
02260;BUDWEISER CAJA  1/4 *24 Ud.
02261;BUDWEISER PACK LATA 4X6 *24 Ud.
02263;MODELO NEGRA 24*0.355 *24 Ud.
02280;ALH RESERVA 4X6 BOT 1/3 *24 Ud.
02281;ALH RVA CAJA 24 1/3 *24 Ud.
02282;ALH RESERVA ROJA 1/3 *24 Ud.
02284;ALH IPA 1/3 *12 Ud.
02285;ALH ESPECIAL 1/4 PACK *24 Ud.
02290;ALH RESERVA ROJA PACK *24 Ud.
02293;ALH MINI RESERVA 22.5 *24 Ud.
02294;LEFFE BRUNE CESTA 1/3 *24 Ud.
02296;LEFFE BLONDE CESTA 33 *24 Ud.
02297;CORONA CERO CESTA 1/3 *24 Ud.
02299;ALH RESERVA RET 30CL *24 Ud.
10360;ALHAMBRA RESERVA  LATA 3*8 330 SLEEK *24 Ud.
10377;CORONA LATA 330 CL *24 Ud.
13467;MAHOU RESERVA 1/3 F.P. *24 Ud.
13482;CUSQUEÑA DORADA 1/3 *24 Ud.
13498;SM 0,0 TOSTADA LATA(5453) *24 Ud.
